n_estimators,max_features,max_depth,criterion,n_jobs,accuracy
49,0.6,38.0,gini,-1,0.6998718770019219
722,0.5,2.0,gini,-1,0.6556694426649584
764,0.75,23.0,entropy,-1,0.7059577194106342
987,0.95,48.0,entropy,-1,0.7133247918001281
287,0.75,75.0,gini,-1,0.7065983344010249
525,0.8,28.0,entropy,-1,0.7114029468289558
805,0.65,8.0,entropy,-1,0.6985906470211403
186,0.75,72.0,entropy,-1,0.7062780269058296
774,0.7,92.0,gini,-1,0.7098014093529789
546,0.75,70.0,entropy,-1,0.7072389493914157
889,0.5,13.0,gini,-1,0.7005124919923126
78,0.6,47.0,gini,-1,0.6985906470211403
337,0.85,22.0,entropy,-1,0.7094811018577835
314,0.75,7.0,gini,-1,0.6973094170403588
164,0.9,7.0,entropy,-1,0.6963484945547725
983,0.6,5.0,gini,-1,0.6851377322229341
856,0.55,43.0,gini,-1,0.7085201793721974
799,0.6,56.0,entropy,-1,0.7069186418962203
622,0.65,29.0,entropy,-1,0.7110826393337604
359,0.95,60.0,entropy,-1,0.7094811018577835
80,0.5,82.0,entropy,-1,0.7011531069827034
941,0.75,2.0,entropy,-1,0.6540679051889814
776,0.8,74.0,entropy,-1,0.7085201793721974
832,0.75,41.0,entropy,-1,0.7120435618193466
825,0.8,3.0,gini,-1,0.6623959000640615
942,0.9,37.0,entropy,-1,0.7136450992953235
950,0.5,31.0,gini,-1,0.7059577194106342
897,0.6,59.0,gini,-1,0.7040358744394619
543,0.7,33.0,entropy,-1,0.7078795643818065
612,0.7,16.0,entropy,-1,0.7072389493914157
341,0.7,42.0,gini,-1,0.7065983344010249
457,0.6,85.0,gini,-1,0.7062780269058296
355,0.55,72.0,gini,-1,0.7053171044202434
438,0.7,70.0,entropy,-1,0.7114029468289558
936,0.8,,entropy,-1,0.7146060217809097
41,0.6,63.0,gini,-1,0.6921844971172325
194,0.5,97.0,gini,-1,0.7094811018577835
759,0.5,79.0,entropy,-1,0.7062780269058296
899,0.5,71.0,entropy,-1,0.7037155669442665
633,0.95,12.0,entropy,-1,0.709160794362588
633,0.85,49.0,gini,-1,0.7062780269058296
276,0.5,54.0,entropy,-1,0.7098014093529789
600,0.95,40.0,entropy,-1,0.704996796925048
825,0.6,8.0,gini,-1,0.6989109545163357
611,0.7,34.0,gini,-1,0.7030749519538757
292,0.65,39.0,gini,-1,0.7094811018577835
852,0.55,11.0,gini,-1,0.7014734144778988
843,0.85,40.0,gini,-1,0.7098014093529789
953,0.75,89.0,entropy,-1,0.7104420243433697
243,0.55,30.0,entropy,-1,0.708199871877002
382,0.8,31.0,entropy,-1,0.7085201793721974
636,0.7,6.0,entropy,-1,0.6931454196028187
247,0.75,28.0,entropy,-1,0.7065983344010249
752,0.55,54.0,entropy,-1,0.7088404868673926
728,0.55,36.0,entropy,-1,0.7094811018577835
923,0.65,51.0,entropy,-1,0.7085201793721974
415,0.8,72.0,gini,-1,0.7107623318385651
237,0.5,70.0,gini,-1,0.7062780269058296
233,0.55,83.0,entropy,-1,0.7107623318385651
414,0.7,43.0,gini,-1,0.7104420243433697
660,0.6,12.0,gini,-1,0.7046764894298526
889,0.8,15.0,gini,-1,0.7098014093529789
50,0.7,93.0,gini,-1,0.6973094170403588
674,0.9,82.0,gini,-1,0.7021140294682896
914,0.7,24.0,gini,-1,0.7062780269058296
918,0.8,74.0,gini,-1,0.7085201793721974
420,0.65,91.0,gini,-1,0.7065983344010249
653,0.9,95.0,entropy,-1,0.7130044843049327
746,0.7,98.0,gini,-1,0.709160794362588
620,0.55,27.0,entropy,-1,0.708199871877002
279,0.9,5.0,entropy,-1,0.680973734785394
465,0.55,32.0,entropy,-1,0.708199871877002
59,0.5,83.0,gini,-1,0.696668802049968
440,0.55,77.0,gini,-1,0.7059577194106342
82,0.55,76.0,entropy,-1,0.7027546444586803
329,0.75,25.0,gini,-1,0.7056374119154388
781,0.5,86.0,gini,-1,0.7078795643818065
36,0.85,13.0,gini,-1,0.7005124919923126
576,0.5,49.0,entropy,-1,0.7069186418962203
210,0.65,81.0,gini,-1,0.7069186418962203
191,0.85,22.0,gini,-1,0.7037155669442665
847,0.75,24.0,gini,-1,0.7075592568866111
54,0.75,24.0,entropy,-1,0.7033952594490711
597,0.55,30.0,gini,-1,0.704996796925048
181,0.5,8.0,entropy,-1,0.6925048046124279
58,0.7,66.0,entropy,-1,0.6995515695067265
807,0.95,8.0,gini,-1,0.6985906470211403
