,accuracy,n_estimators,max_features,max_depth,criterion,n_jobs
0,0.7094363791631084,823,0.75,98.0,entropy,-1
1,0.7109308283518361,980,0.55,45.0,entropy,-1
2,0.7049530315969257,543,0.75,96.0,entropy,-1
3,0.71199829205807,654,0.9,99.0,entropy,-1
4,0.7077284372331341,613,0.6,71.0,gini,-1
5,0.7045260461144321,518,0.6,36.0,entropy,-1
6,0.6981212638770282,386,0.65,40.0,entropy,-1
7,0.6925704526046115,370,0.7,30.0,gini,-1
8,0.6821093082835183,180,0.75,5.0,entropy,-1
9,0.6981212638770282,756,0.7,51.0,entropy,-1
10,0.695132365499573,443,0.7,85.0,gini,-1
11,0.6996157130657558,765,0.55,42.0,gini,-1
12,0.7160546541417592,537,0.8,61.0,entropy,-1
13,0.7083689154568744,378,0.5,58.0,entropy,-1
14,0.6979077711357814,104,0.75,32.0,entropy,-1
15,0.7090093936806149,383,0.7,33.0,entropy,-1
16,0.6949188727583262,138,0.8,49.0,gini,-1
17,0.7096498719043552,575,0.5,22.0,gini,-1
18,0.7060204953031597,919,0.65,59.0,gini,-1
19,0.7013236549957301,946,0.8,80.0,gini,-1
20,0.6966268146883006,902,0.9,40.0,entropy,-1
21,0.7017506404782238,720,0.9,48.0,entropy,-1
22,0.71199829205807,539,0.85,91.0,gini,-1
23,0.6927839453458582,267,0.75,75.0,gini,-1
24,0.7085824081981212,971,0.65,60.0,gini,-1
25,0.7058070025619129,644,0.6,94.0,gini,-1
26,0.6897950469684031,938,0.8,7.0,entropy,-1
27,0.7094363791631084,292,0.7,94.0,entropy,-1
28,0.7008966695132366,633,0.65,88.0,gini,-1
29,0.7149871904355252,699,0.55,14.0,entropy,-1
30,0.7049530315969257,478,0.5,92.0,gini,-1
31,0.7087959009393681,962,0.65,97.0,gini,-1
32,0.7038855678906917,626,0.85,66.0,entropy,-1
33,0.7023911187019641,918,0.85,87.0,gini,-1
34,0.691929974380871,152,0.8,61.0,gini,-1
35,0.702604611443211,542,0.65,95.0,entropy,-1
36,0.7013236549957301,565,0.6,62.0,entropy,-1
37,0.7083689154568744,473,0.65,83.0,entropy,-1
38,0.6932109308283518,426,0.55,30.0,gini,-1
39,0.7058070025619129,853,0.75,83.0,entropy,-1
40,0.7070879590093937,776,0.55,66.0,entropy,-1
41,0.6983347566182749,169,0.65,72.0,gini,-1
42,0.7032450896669513,412,0.95,19.0,gini,-1
43,0.7098633646456021,633,0.65,68.0,entropy,-1
44,0.7040990606319385,770,0.8,15.0,gini,-1
45,0.7117847993168233,831,0.55,89.0,gini,-1
46,0.7098633646456021,317,0.6,17.0,entropy,-1
47,0.6994022203245089,228,0.8,30.0,entropy,-1
48,0.705593509820666,430,0.95,93.0,entropy,-1
49,0.6923569598633647,700,0.6,96.0,entropy,-1
50,0.701537147736977,425,0.85,88.0,gini,-1
51,0.7051665243381725,422,0.7,31.0,gini,-1
52,0.7060204953031597,701,0.5,24.0,gini,-1
53,0.7049530315969257,753,0.5,31.0,entropy,-1
54,0.7137062339880444,972,0.6,25.0,entropy,-1
55,0.7092228864218617,767,0.75,24.0,gini,-1
56,0.6953458582408198,868,0.6,23.0,entropy,-1
57,0.7019641332194705,671,0.85,70.0,gini,-1
58,0.702604611443211,801,0.65,72.0,entropy,-1
59,0.6883005977796754,384,0.85,5.0,entropy,-1
